Count_UID,Count_Timestamp,Property,SKU,Item Name,Department,Counted_Qty,Counted_By,Notes
dda6c8f1,11/3/2025 8:52:22,MGC,35000556769,_Toothbrush_Colgate_Soft,Health & Beauty Non-Taxable,4,e7e3eddf,
d5115b08,11/3/2025 9:45:07,MGC,2025031707,_Rubber Duck_4Imprint_Rubber Duck Medium MGC,Souvenirs/Gifts,47,bc59537a,
91a1f802,11/3/2025 9:52:23,MGC,26753412013,_Diving Toys_Playday_Dive Party Pack,Swim Supplies,8,bc59537a,
906c8f8c,11/3/2025 9:53:32,MGC,26753471331,_Dive Toys_PlayDay_Set of 4,Swim Supplies,13,bc59537a,
4fc2faf4,11/3/2025 10:00:04,MGC,774112053,_After Sun Lotion_Ocean Potion_Aloe,Health & Beauty Taxable,6,bc59537a,
10483477,11/3/2025 10:00:32,MGC,79656045321,_Sunblock_Banana Boat_1 oz,Groceries Taxable,3,bc59537a,
dd84c61c,11/3/2025 10:01:41,MGC,2023021302,_Sunglasses_Geopty_Assorted Colors,Health & Beauty Taxable,49,bc59537a,
a223602c,11/3/2025 10:09:54,MGC,78257566648,_Swim Toy_Intex_Dinosaur Arm Bands,Sporting Goods,5,bc59537a,
da30a7a1,11/3/2025 10:13:50,MGC,195545000186,_Floating Toy_Bluescape_Split Dog Ring,Swim Supplies,1,bc59537a,
47bafafe,11/3/2025 10:14:09,MGC,78257313266,_Swim Toy_Intex_Orange Armbands,Swim Supplies,3,bc59537a,
f4fd503a,11/3/2025 10:14:34,MGC,78257308569,_Swim Toy_Wilcor_24in Beach Ball,Swim Supplies,2,bc59537a,
d0f9de0c,11/3/2025 10:16:19,MGC,786311405948,_Swim Pants_Wilcor_3 Pack Size 3-4,Sporting Goods,6,bc59537a,
c992e259,11/3/2025 10:16:48,MGC,786311405986,_Swim Pants_Wilcor_3 Pack Size 5,Swim Supplies,4,bc59537a,
66436a15,11/3/2025 10:18:34,MGC,786311508151,_Goggles_Wilcor_Free Style,Sporting Goods,23,bc59537a,
f2d52f4e,11/3/2025 10:19:44,MGC,786311508205,_Ear Plugs_Wilcor_1 Pair,Swim Supplies,5,bc59537a,
30b2b962,11/3/2025 10:20:29,MGC,786311508212,_Nose Clip_Wilcor_Single One Size,Swim Supplies,9,bc59537a,
f3e0e1ed,11/3/2025 10:22:10,MGC,786311510307,_Beach Towel_Wilcor_S'more,Swim Supplies,4,bc59537a,
bddc1fbd,11/3/2025 10:24:45,MGC,195464334027,_Noodle_Uk_Variety of Colors,Swim Supplies,10,bc59537a,
bba7e6d2,11/3/2025 10:25:03,MGC,786311122548,_Adult Camp Chair_Wilcor_American Patch Straight Back,RV & Camping Supplies,9,bc59537a,
5e32343d,11/3/2025 10:24:50,HSV,2025030310,"_Sticker_Happy Camper HSV_4""x2.5""",Souvenirs/Gifts,81,98012455,
750e7fe1,11/3/2025 10:28:17,MGC,2025032301,_Adult Tee_Earth Sun Moon_Assorted SM-3XL,Apparel,18,bc59537a,
02b6ad1a,11/3/2025 10:27:50,HSV,2023112902,_Sticker_Smule_Camping Is The Answer UDRG 4x4 Square,Souvenirs/Gifts,19,98012455,
b4f9d560,11/3/2025 10:28:47,MGC,2025032301,_Adult Tee_Earth Sun Moon_Assorted SM-3XL,Apparel,39,bc59537a,
20011db4,11/3/2025 10:28:54,HSV,2023112904,_Sticker_I'd Rather Be Camping Pink Girl UDRG_3x3 Circle,Souvenirs/Gifts,2,98012455,
f82b0be2,11/3/2025 10:32:19,HSV,215202303,_Sticker_UK_Shenandoah Valley Colorful Trees 3x3 Die Cut,Souvenirs/Gifts,67,98012455,
d2883bff,11/3/2025 10:33:42,MGC,97138921833,_Toy_La Luna Bella_Cork Popper,Toys,13,bc59537a,
310f312a,11/3/2025 10:34:49,HSV,1531,_Sticker_UK_Big colorful CAMP,Souvenirs/Gifts,58,98012455,
dd5d1fc8,11/3/2025 10:37:25,MGC,18026041761,_Toilet Paper_Wilcor_Elegant Toilet paper,RV & Camping Supplies,26,bc59537a,
21c5c846,11/3/2025 10:40:38,MGC,8827YH,_Youth Hoodie_Pecora_Happy Campers,Apparel,10,bc59537a,
d324858f,11/3/2025 10:36:14,HSV,22018,_Sticker_Keep Bears Wild,Souvenirs/Gifts,99,98012455,
cc6cb793,11/3/2025 10:42:24,HSV,5634,_Sticker_UK_Toasted together Harrisonburg KOA,Souvenirs/Gifts,21,98012455,
b8216cf5,11/3/2025 10:44:42,HSV,10052023,_Sticker_KOA_KOA Logo,Souvenirs/Gifts,95,98012455,
b7734618,11/3/2025 10:43:24,MGC,505221,_Youth Tee_Pecora_Got S'mores,Apparel,88,bc59537a,
ed0f4112,11/3/2025 10:47:04,HSV,2025030308,"_Sticker_Backing Up The Camper_2.5""x2""",Souvenirs/Gifts,90,98012455,
e4645884,11/3/2025 10:47:40,MGC,8827YT,_Youth Tee_Pecora_Happy Camper,Apparel,73,bc59537a,
292509b3,11/3/2025 10:51:22,MGC,2025032301,_Adult Tee_Earth Sun Moon_Assorted SM-3XL,Apparel,18,bc59537a,
b83d2440,11/3/2025 10:49:52,HSV,2023112921,_Sticker_Smule_HSV Postage Stamp Explore Nature 3x3 Die Cut,Souvenirs/Gifts,15,98012455,
e23173cc,11/3/2025 10:52:52,HSV,2025030305,"_Sticker_Eat, Sleep, Camp UDRG_2.5""x2.5""",Souvenirs/Gifts,34,98012455,
cd52bf8a,11/3/2025 10:52:56,MGC,2025032304,_Adult Crewneck_Earth Sun Moon_Assorted Styles,Apparel,29,bc59537a,
2f87dab1,11/3/2025 10:54:07,HSV,2025030311,"_Sticker_RV There Yet HSV_3""x3""",Souvenirs/Gifts,195,98012455,
cfefadc4,11/3/2025 10:55:26,MGC,1842st,_Adult Tee_Pecora_MGC,Apparel,79,bc59537a,
7332deef,11/3/2025 10:58:37,HSV,5049,_Sticker_UK_I'd Rather Be Camping,Souvenirs/Gifts,38,98012455,
026f23a3,11/3/2025 10:59:19,HSV,2025030303,"_Sticker_Sunset HSV Forest Bear_3""x2""",Souvenirs/Gifts,12,98012455,
6488df9d,11/3/2025 11:01:44,MGC,2025091101,_Flour Sack Towels_Activities Sales_Single White,Activity Sales,6,bc59537a,
9199b610,11/3/2025 11:01:20,HSV,2025030304,"_Sticker_UDRG Bright Teal Duck_2""x2""",Souvenirs/Gifts,30,98012455,
8018ab73,11/3/2025 11:03:10,MGC,301202302,_Youth Tee_Unknown_White MGC for Tie-Dye,Apparel,127,bc59537a,
e9a62d83,11/3/2025 11:02:37,HSV,2025030302,"_Sticker_Purple Mountain Bear_5""x2.5""",Souvenirs/Gifts,36,98012455,
9bfbaef7,11/3/2025 11:05:33,MGC,301202301,_Adult Tee_Unknown_White MGC for Tie-Dye,Apparel,172,bc59537a,
c3c4516e,11/3/2025 11:04:09,HSV,823,_Sticker_Mountain Graphics_Hiked It Liked It Shenandoah National Park,Souvenirs/Gifts,89,98012455,
f276d5ea,11/3/2025 11:07:35,MGC,43388485328,_Fishing Pole_Wilcor_Frozen,Sporting Goods,1,bc59537a,
f024f721,11/3/2025 11:07:56,MGC,786311006169,_Fishing Pole_Wilcor_Complete Fishing Kit,Sporting Goods,1,bc59537a,
a1c52f02,11/3/2025 11:09:46,MGC,786311006091,_Fishing Pole_Wilcor_Deluxe Fishing Kit,Sporting Goods,3,bc59537a,
81adafdf,11/3/2025 11:10:04,MGC,50209024475,_Fishing_Dolphin_Monofilament Line,Sporting Goods,2,bc59537a,
9e677ac5,11/3/2025 11:11:18,MGC,53398008912,_Float_Wilcor_Fire Floats,Sporting Goods,3,bc59537a,
2e790d2d,11/3/2025 11:10:29,ALG,2025030307,"_Sticker_Happy Camper State ALG_3""x2""",Souvenirs & Gifts,101,283285b4,
7a6898d1,11/3/2025 11:12:38,MGC,28632046258,_Powerbait_Wilcor_Trout Nuggets,Sporting Goods,3,bc59537a,
2b4b2522,11/3/2025 11:13:21,MGC,50209006716,_Fishing Hooks_Wilcor_40 pieces,Sporting Goods,9,bc59537a,
f8f7c1a3,11/3/2025 11:13:56,MGC,32784631675,_Fishing Pole_Zebco_Blue,Sporting Goods,1,bc59537a,
74785d98,11/3/2025 11:13:46,ALG,44000004637,_Grahams Crackers_Honey Maid_14.4oz,,1,ee85b0cc,
4b5b2bc5,11/3/2025 11:14:11,MGC,43388434326,_Fishing Pole_Shakespeare_Complete Fishing Kit,RV & Camping Supplies,1,bc59537a,
d1efc98b,11/3/2025 11:14:19,ALG,3424005,_Candy_Hershey_Milk Chocolate Bar,,6,ee85b0cc,
5966a81e,11/3/2025 11:14:59,ALG,821472706883,"_Roasting Fork_Country Side_41""",,3,ee85b0cc,
aa90b93c,11/3/2025 11:14:38,ALG,2025030313,"_Sticker_RV There Yet ALG_3""x3""",Souvenirs & Gifts,47,e2e6b4b0,
9da8c659,11/3/2025 11:15:03,MGC,639277904140,_Cooler_Wilcor_Styrofoam Cooler small,RV & Camping Supplies,3,bc59537a,
bc623493,11/3/2025 11:15:35,ALG,2025030316,"_Sticker_ALG Logo_3""x1.5""",Souvenirs & Gifts,43,e2e6b4b0,
5296c35a,11/3/2025 11:15:57,ALG,2025030305,"_Sticker_Eat, Sleep, Camp UDRG_2.5""x2.5""",Souvenirs & Gifts,43,e2e6b4b0,
9aaa608e,11/3/2025 11:16:09,MGC,860008308511,_Fishing Supplies_Wanglers_Live Worms,Sporting Goods,0,bc59537a,
b9097a5b,11/3/2025 11:16:09,ALG,2025030308,"_Sticker_Backing Up The Camper_2.5""x2""",Souvenirs & Gifts,44,e2e6b4b0,
7fd9f9db,11/3/2025 11:16:25,ALG,2025030304,"_Sticker_UDRG Bright Teal Duck_2""x2""",Souvenirs & Gifts,28,e2e6b4b0,
0049797e,11/3/2025 11:17:42,MGC,70330713963,_Razors_BIC_SIlky Touch Individual Razors,Health & Beauty Taxable,1,bc59537a,
e95f4ade,11/3/2025 11:18:51,ALG,56389089754,_Roasting Forks_Coghlans_20â€ Set of 4,,5,ee85b0cc,
4ec92d84,11/3/2025 11:20:24,ALG,879272001745,_Funky Flames_Winlow_Set of 4,,1,ee85b0cc,
b92cf584,11/3/2025 11:20:54,ALG,676758002261,_Lighter_Crocs_Single Butane,,1,ee85b0cc,
bffb60a6,11/3/2025 11:28:35,ALG,672935103226,_Toothbrush_Dr. Fresh_3 in 1 Kit,,3,e2e6b4b0,
7639f4eb,11/3/2025 11:30:41,ALG,85317009250,_Anti-Itch Cream_After Bite_0.7oz,,3,e2e6b4b0,
2b66daaf,11/3/2025 11:31:43,ALG,838891003189,_Antibiotic Ointment_Natureplex,,1,e2e6b4b0,
33740334,11/3/2025 11:33:00,ALG,305730149044,_Pain Reliever_Advil_Liqui-Gels Pack of 4,,3,e2e6b4b0,
6b020bd5,11/3/2025 11:33:39,ALG,300450444066,_Pain Reliever_Tylenol_Extra Strength Pack of 6,,1,e2e6b4b0,
4056f69d,11/3/2025 11:34:40,ALG,366715974921,_Pain Reliever_Excedrin_Set of 4,,2,e2e6b4b0,
0207e38c,11/3/2025 11:35:25,ALG,50428302392,_Dental Floss_CVS_Waxed 100 Yards,,2,e2e6b4b0,
1cd41450,11/3/2025 11:32:20,HSV,988,_Sticker_UK_S'more Fun,Souvenirs/Gifts,102,98012455,
6a104cd3,11/3/2025 11:35:56,ALG,44224615602,_Anti-Itch Cream_After Bite_0.7oz,,3,e2e6b4b0,
9a8cb96b,11/3/2025 11:38:23,ALG,312546002920,_Cough Drops_Halls_Cough and Throat_Pack of 14,,2,e2e6b4b0,
404591f6,11/3/2025 11:39:44,ALG,858993006369,_Wipes_Dude Wipes_Unscented Pack of 18,,6,e2e6b4b0,
36c84f48,11/3/2025 11:40:18,ALG,70330916142,_Womenâ€™s Razors_Bic_Set of 2,,2,e2e6b4b0,
5def3a4a,11/3/2025 11:41:10,ALG,43388004611,_Fishing Pole_Wilcor_Shakespear Lake/Pond Complete Fishing Kit,,1,ee85b0cc,
66c9d33a,11/3/2025 11:41:48,ALG,43388485328,_Fishing Pole_Wilcor_Frozen,,2,ee85b0cc,
a0e39e30,11/3/2025 11:40:54,ALG,51009102400,_Menâ€™s Razors_Barbasol_Pack of 2,,2,e2e6b4b0,
534a8695,11/3/2025 11:42:25,ALG,837508007671,_Net_Romar_Floating Net 16â€,,1,ee85b0cc,
9c45c5bb,11/3/2025 11:42:46,ALG,859748003824,_Chapstick_Naked Bee_Organic Lip Balm Trio,,6,e2e6b4b0,
0972cc9b,11/3/2025 11:42:59,ALG,786311006091,_Fishing Kit_Wilcor_Deluxe Fishing Kit,,4,ee85b0cc,
bd942bd5,11/3/2025 11:43:16,ALG,195464244012,_Tweezers_Sassy & Chic_Single,,1,e2e6b4b0,
8762ec22,11/3/2025 11:43:40,ALG,93000501554,_Chapstick_ChapIce_Single 12 Hour 15SPF,,2,e2e6b4b0,
58e12af8,11/3/2025 11:43:40,ALG,47708637527,_Fishing Hook_Wilcor_Lazer Sharp Eagle Claw,,3,ee85b0cc,
eec3b51a,11/3/2025 11:44:51,ALG,41457183809,_Hair Ties_Goody_Set of 11,,2,e2e6b4b0,
449581ee,11/3/2025 11:45:14,ALG,53398008912,_Float_Wilcor_Fire Floats,,2,ee85b0cc,
38357d6b,11/3/2025 11:40:17,HSV,2023112901,_Sticker_Smule_Camping Crackle Hex UDRG 3x3 Square,Souvenirs/Gifts,28,98012455,
4454b186,11/3/2025 11:46:05,HSV,652843912486,_Sticker_Lantern Press_Assorted Die Cut,,33,98012455,
a34d6026,11/3/2025 11:45:54,ALG,53398009308,_Bait_Wilcor_Fire Minnows,,2,ee85b0cc,
adbc2439,11/3/2025 11:47:50,ALG,50209024475,_Fishing_Dolphin_Monofilament Line,,3,ee85b0cc,
bafb17d2,11/3/2025 11:47:40,HSV,652843912493,_Sticker_Lantern Press_Lithograph Bear Family in Field,,25,98012455,
27ad2f07,11/3/2025 11:48:22,ALG,786311508212,_Nose Clip_Wilcor_Single One Size,,7,ee85b0cc,
22899563,11/3/2025 11:48:52,ALG,33732000055,_Ear Plugs_Macks_2 Pair,,3,ee85b0cc,
333eee96,11/3/2025 11:45:33,ALG,194346154418,_Fingernail Clipper_Equate_Single,,1,e2e6b4b0,
56faa01b,11/3/2025 11:49:11,ALG,381370082958,_First Aid Kit_Johnson & Johnson_To Go,,3,e2e6b4b0,
5bc9fae0,11/3/2025 11:49:24,ALG,41100006219,_Sunscreen_Coppertone_SPF 50 0.13oz,,3,ee85b0cc,
71e355d1,11/3/2025 11:49:35,ALG,195464244012,_Tweezers_Sassy & Chic_Single,,1,e2e6b4b0,
53007ecf,11/3/2025 11:50:04,ALG,681131002370,_Sunscreen_Equate_SPF 50 1.5oz,,1,ee85b0cc,
6616bf95,11/3/2025 11:50:06,ALG,639277710482,_Hairbrush_Greenbriar_Assorted Colors,,2,e2e6b4b0,
c2e4e777,11/3/2025 11:51:27,ALG,639277925039,_Nail Clippers_Greenbrier_With 2 Emery Boards,,1,e2e6b4b0,
bc2b2881,11/3/2025 11:51:19,ALG,78257324361,_Arm Bands_Intex_One Pair,,6,ee85b0cc,
819593c0,11/3/2025 11:51:55,ALG,195464204054,_Nail Clippers_Greenbrier_Cuticle Trimmer,,2,e2e6b4b0,
737ad8cf,11/3/2025 11:52:17,ALG,639277351555,_Comb_Uk_Tail Combs Set of 2,,2,e2e6b4b0,
e5300543,11/3/2025 11:52:20,ALG,430001036232,_Arm Bands_H2O Go_One Pair,,1,ee85b0cc,
2ebeb517,11/3/2025 11:52:39,ALG,24291299882,_Conditioner_Herbal Essences_1.7oz,,2,e2e6b4b0,
7e0dcf50,11/3/2025 11:53:03,ALG,821808009909,_Beach Ball_H2O Go_20in,,2,ee85b0cc,
075818ed,11/3/2025 11:52:37,HSV,1037,_Sticker_UK_Home Is Where You Park It Harrisonburg KOA,,61,98012455,
542d7f6b,11/3/2025 11:53:27,ALG,841654161620,_Hair Clips_Lazy One_Camper,,9,e2e6b4b0,
4873fe5d,11/3/2025 11:54:08,ALG,681131149860,_Nail File_Equate_Single,,2,e2e6b4b0,
5d44bc6f,11/3/2025 11:53:46,ALG,78257566648,_Arm Bands_Intex_One Pair,,4,ee85b0cc,
dc41c672,11/3/2025 11:55:25,ALG,37000449799,_Mouth Wash_Crest_Mint 1.2oz,,1,e2e6b4b0,
65a3c2c5,11/3/2025 11:56:01,ALG,786311508151,_Goggles_Wilcor_Free Style,,14,ee85b0cc,
fa29fe71,11/3/2025 11:56:49,ALG,75656010314,_Pool Toy_Wilcor_Splash Fun Aqua Flyer,,3,ee85b0cc,
18182e9b,11/3/2025 11:56:26,ALG,850026889055,_Allergy Medicine_ValuHealth_36 Tablets,,1,e2e6b4b0,
bda27149,11/3/2025 11:57:17,ALG,195545000186,_Floating Toy_Bluescape_Split Dog Ring,,2,ee85b0cc,
5f10fc52,11/3/2025 11:57:38,ALG,300450184047,_Pain Reliever_Childrens Motrin_Berry Flavor 4oz,,1,e2e6b4b0,
e26ba560,11/3/2025 11:57:53,ALG,26619286598,"_Adventure Explorer Beach Towel_Wilcor_30""x60""",,14,ee85b0cc,
31207721,11/3/2025 11:58:10,ALG,51009000256,_Menâ€™s Shaving Cream_Barbasol_2oz,,5,e2e6b4b0,
3c0efc67,11/3/2025 11:59:08,ALG,51009003066,_Menâ€™s Shaving Cream_Barbasol_Soothing Aloe 5oz,,2,e2e6b4b0,
ca356a6b,11/3/2025 11:59:33,ALG,51009309748,_Womenâ€™s Shaving Cream_Pure silk_Ultra Sensitive 5oz,,2,e2e6b4b0,
d1a54d33,11/3/2025 11:59:53,ALG,831527005113,_Eye Drops_Familiy Care_0.5oz,,2,e2e6b4b0,
eae43ecf,11/3/2025 12:00:15,ALG,37000864233,_Body Wash_Old Spice_3oz,,3,e2e6b4b0,
2452ebf0,11/3/2025 12:00:45,ALG,22400639123,_Shampoo_Tresemme_3oz,,1,e2e6b4b0,
7b3632aa,11/3/2025 12:01:35,ALG,22400639130,_Conditioner_Tresemme_3oz,,4,e2e6b4b0,
fe02e54a,11/3/2025 12:01:47,ALG,193355537113,_Colorful Camper with lid_Tervis_ 24 oz.,,1,ee85b0cc,
953798b3,11/3/2025 12:03:05,ALG,9781728244105,_Book_Unknown_I Love you as BIG as Pennsylvania,Books and Magazines,2,ee85b0cc,
4c1b1823,11/3/2025 12:02:08,ALG,190679004741,_Conditioner_Herbal Essences_1.4oz,,6,e2e6b4b0,
f22f9c5d,11/3/2025 12:03:43,ALG,786311117087,_Marshmallow Sticks_Wilcor_Set Of 4,Household,53,ee85b0cc,
8d9f9beb,11/3/2025 12:04:53,ALG,9781585365067,_Book_Unknown_Little Pennsylvania,Books and Magazines,3,ee85b0cc,
fafbb4db,11/3/2025 12:05:16,ALG,9798337895222,_Book_UK_Would you rather travel game book Outdoors,Books & Games,4,ee85b0cc,
b717471b,11/3/2025 12:05:35,ALG,9780988812802,Travel Doodle Explore work book,Toys,5,ee85b0cc,
13d0fff1,11/3/2025 12:06:03,ALG,9781585362561,_Books_Terri Hoover Dunham_The Legend of Papa Noel,Books & Games,3,ee85b0cc,
49893072,11/3/2025 12:06:26,ALG,9781585361045,_Book_Unknown_K is for Keystone,Books and Magazines,4,ee85b0cc,
dda0ea27,11/3/2025 12:05:54,ALG,36000287400,_Pads_Kotex_Set of 18,,2,e2e6b4b0,
32129aa8,11/3/2025 12:06:45,ALG,808874000214,_Games_UK_National Park Mini Checkers,Toys,4,ee85b0cc,
de7c30bb,11/3/2025 12:07:17,ALG,9780615389950,_Books_Andrew F Johnson_Meet us at the National Parks,Souvenirs/Gifts,3,ee85b0cc,
67f45559,11/3/2025 12:06:50,ALG,36000534450,_Tampons_Kotex_16ct,,4,e2e6b4b0,
2991405e,11/3/2025 12:07:39,ALG,808874000115,_Game_UK_Jr. RangerLand National Park Board,Toys,2,ee85b0cc,
36f08aaf,11/3/2025 12:07:41,ALG,17276237900,_Bandaids_CarePak_Neon Set of 30,,2,e2e6b4b0,
e36fbcc3,11/3/2025 12:08:00,ALG,2025032501,_Mug_Loftilop_16 oz Assorted,Souvenirs/Gifts,7,ee85b0cc,
a87a603d,11/3/2025 12:08:07,ALG,50844375956,_Anti Diarrheal_Quality Plus_Pack of 12,,2,e2e6b4b0,
825f3f5e,11/3/2025 12:09:03,ALG,756815094894,_Pitcher and Tumbler Set_Camp Casual_Mountain Sage,Souvenirs/Gifts,5,ee85b0cc,
0790d963,11/3/2025 12:08:57,ALG,349580724402,_Pain Reliever_ReadyInCase_Stomach Relief 4oz,Health & Beauty Taxable,2,e2e6b4b0,
9882f1d3,11/3/2025 12:09:25,ALG,756815094856,_Microwaveable Dish Set_Camp Casual_8 Piece Driftwood,Souvenirs/Gifts,1,ee85b0cc,
a0a2a38e,11/3/2025 12:09:33,ALG,17714043551,_Antacid_Certified Plus_55 Tablets,,1,e2e6b4b0,
ffd378eb,11/3/2025 12:08:04,HSV,2023030407,"_Sticker_KOA Mini with Name Drop_1""x1""",,83,98012455,
9a6c6e1c,11/3/2025 12:09:46,ALG,40232364402,_Mug_Camp Casual_Tangerine Trip,,3,ee85b0cc,
37224130,11/3/2025 12:10:13,ALG,74182290948,_Hand Soap_Softsoap_7.5 fl oz,,1,e2e6b4b0,
8295594a,11/3/2025 12:10:40,ALG,756815094818,_Folding Picnic Basket_Camp Casual_Grey Plaid,,1,ee85b0cc,
36f71714,11/3/2025 12:11:04,ALG,681131403016,_Hand Soap_Equate_Aloe Vera 7.5oz,Health & Beauty Non-Taxable,1,e2e6b4b0,
9af006ca,11/3/2025 12:11:29,ALG,857874006726,_Dog Toy_Spunky Pup_Fly & Fetch Duck,Pet Supplies,2,ee85b0cc,
2af33628,11/3/2025 12:11:50,ALG,190134063306,_Pet waste bag_Primitives by Kathy_Fetch,Souvenirs/Gifts,16,ee85b0cc,
6b64cbbf,11/3/2025 12:11:34,ALG,19045282937,_Lotion_Curel_Ultra Healing 1oz,,3,e2e6b4b0,
efc206ee,11/3/2025 12:12:23,ALG,850010057286,_Dog Toy_Spunky Pup_Spunky Soft Disc,Pet Supplies,2,ee85b0cc,
9ea56af0,11/3/2025 12:12:14,ALG,36000369267,_Baby Wipes_Huggies Natural Care_15 Wipes,,2,e2e6b4b0,
922edd75,11/3/2025 12:12:44,ALG,850045825515,_Dog Treats_Spunky Pup_Dogstoppers,Pet Supplies,1,ee85b0cc,
ddcc632f,11/3/2025 12:12:43,ALG,681131050760,_Makeup Remover_Equate_Wipes Set of 10,,2,e2e6b4b0,
4b25d2db,11/3/2025 12:13:10,ALG,850045825522,_Dog Treats_Spunky Pup_Dogstoppers,Pet Supplies,1,ee85b0cc,
090063f6,11/3/2025 12:13:39,ALG,731015072187,"_Dog Collar_Wilcor_Neck Size 9"" to 17""",Household,5,ee85b0cc,
1aad1e82,11/3/2025 12:14:09,ALG,731015043910,_Dog Leash_Wilcor_4 feet,Household,5,ee85b0cc,
612ed2e6,11/3/2025 12:13:12,ALG,36000123234,_Tissues_Kleenex_10 Pack,,23,e2e6b4b0,
a53d8146,11/3/2025 12:14:40,ALG,14717402873,_Gloves_Camco_RV Sanitation Gloves Reusable,,1,ee85b0cc,
4cfa219b,11/3/2025 12:15:05,ALG,78300069904,_Liners_Carefree_20 pads,,3,e2e6b4b0,
86c2b833,11/3/2025 12:15:34,ALG,14717402859,_Gloves_Camco_RV Sanitation Gloves Disposable 100 Pack,,4,ee85b0cc,
32d09789,11/3/2025 12:15:52,ALG,78300069850,_Pads_Carefree Original_20 pads,,2,e2e6b4b0,
b3343c77,11/3/2025 12:16:03,ALG,14717390804,_Rhino Blaster_Camco_Rinser,,1,ee85b0cc,
8b7e3b1b,11/3/2025 12:16:13,ALG,849607090522,_Cooking Spray_Healthy Chef_Butter Flavored 5 oz,Groceries Taxable,3,e2e6b4b0,
9739bfcd,11/3/2025 12:17:22,ALG,24000162865,_Canned Vegetable_Del Monte_14.5 oz Green Beans,,2,e2e6b4b0,
4477e9fb,11/3/2025 12:18:04,ALG,24000163022,_Canned Vegetable_Del Monte_15.25 oz Whole Corn,,2,e2e6b4b0,
53c72782,11/3/2025 12:18:32,ALG,42396533502,_Pie Filling_Mothers Maid_Cherry 15 oz,,3,e2e6b4b0,
8bbf5d2e,11/3/2025 12:19:26,ALG,84800001108,_Salt & Pepper_Everyday_2pk,,1,e2e6b4b0,
5694dbfa,11/3/2025 12:20:26,ALG,33200011101,_Baking Soda_Arm and Hammer_1lb,,2,e2e6b4b0,
c9501a0a,11/3/2025 12:21:03,ALG,51000012517,_Chicken Noodle Soup_Campbell's_10.75oz,,4,e2e6b4b0,
9f9028eb,11/3/2025 12:10:39,HSV,2023030406,"_Sticker_Smule_UDRG Mini Ducks with Sunglasses 1""",Souvenirs/Gifts,207,98012455,
890c8d86,11/3/2025 12:19:17,ALG,77231120005,_Auto Fuses_Uk_20 Amp 5 Pack,,10,ee85b0cc,
